cityName,country,lat,lng,temp,humidity,cloudiness,winds
muravlenko,ru,63.79,74.5,63.58,93,0,7.43
kalabo,zm,-15.0,22.67,56.56,50,56,8.77
mecca,sa,21.43,39.83,93.2,32,0,2.62
mantua,cu,45.16,10.79,60.4,76,0,4.7
pochutla,mx,15.74,-96.47,82.4,74,90,3.4
puerto el triunfo,sv,13.27,-88.55,82.4,78,0,5.82
dongsheng,cn,29.72,112.52,86.71,80,76,11.68
miandoab,ir,36.97,46.1,59.8,63,0,3.74
volchansk,ru,59.94,60.08,65.38,63,36,7.43
anuradhapura,lk,8.34,80.41,81.58,72,68,16.82
saryg-sep,ru,51.49,95.55,69.97,53,0,2.62
touros,br,-5.2,-35.46,74.29,99,88,11.34
boone,us,36.22,-81.67,73.0,77,1,2.95
thika,ke,-1.04,37.08,59.44,99,92,3.29
whitehorse,ca,60.72,-135.06,69.8,30,40,12.75
hell,no,63.45,10.9,50.0,93,75,11.41
borujerd,ir,33.89,48.76,55.12,58,0,1.95
sosva,ru,59.17,61.86,65.56,71,88,6.87
aksu,cn,52.04,76.93,66.2,88,40,4.47
boyolangu,id,-8.09,111.9,80.5,83,0,4.97
kamaishi,jp,39.28,141.86,78.8,54,75,8.05
pergamino,ar,-33.9,-60.57,36.58,43,0,11.23
ancud,cl,-41.87,-73.83,27.58,81,0,0.94
thinadhoo,mv,0.53,72.93,82.93,100,0,6.53
ossora,ru,59.24,163.07,53.41,92,0,5.75
dawlatabad,af,36.41,64.91,79.6,28,64,8.21
anchorage,us,61.22,-149.89,59.25,62,20,11.41
lazaro cardenas,mx,28.39,-105.62,100.4,10,20,6.93
rzhyshchiv,ua,49.97,31.05,50.83,87,75,8.95
sisophon,kh,13.59,102.97,88.15,63,68,12.35
katsina,ng,12.99,7.6,68.53,93,0,2.73
pak phanang,th,8.35,100.2,78.8,94,20,7.43
padang,id,-0.92,100.36,83.56,100,88,5.41
virginia beach,us,36.85,-75.98,77.5,88,40,8.77
sundargarh,in,22.12,84.04,84.82,86,8,7.65
ouadda,cf,8.07,22.4,67.54,94,88,3.18
saint-leu,re,-21.15,55.28,67.93,60,90,9.17
faanui,pf,-16.48,-151.75,80.59,100,8,13.58
santa maria da vitoria,br,-13.39,-44.19,65.92,80,0,8.43
sobolevo,ru,54.43,31.9,55.39,100,88,5.53
buraydah,sa,26.33,43.97,80.6,36,0,4.7
mongar,bt,27.28,91.24,70.6,96,76,0.6
straumen,no,63.87,11.3,50.0,93,75,11.41
maningrida,au,-12.05,134.23,81.94,67,0,16.26
zyryanka,ru,65.73,150.89,68.8,34,0,6.2
baghdad,iq,33.3,44.38,84.2,39,0,13.87
biak,id,-0.91,122.88,80.32,91,36,4.18
ambilobe,mg,-13.19,49.05,65.65,88,0,5.19
kant,kg,42.89,74.85,57.91,59,44,1.61
gladstone,au,-23.84,151.26,70.87,56,24,11.23
hirara,jp,24.8,125.28,86.0,84,75,14.99
liverpool,ca,53.41,-2.98,52.63,81,0,6.93
onguday,ru,50.75,86.14,71.14,38,68,2.73
vilyuysk,ru,63.75,121.63,74.11,52,0,3.4
mandali,iq,33.75,45.55,78.34,28,0,9.89
jimma,et,7.67,36.84,54.49,97,68,2.39
brae,gb,60.4,-1.35,50.77,87,92,13.87
melville,ca,50.93,-102.81,68.0,82,1,9.17
dudinka,ru,69.41,86.18,68.89,89,36,8.88
san felipe,ve,-32.75,-70.73,44.6,81,75,1.12
hambantota,lk,6.12,81.12,78.61,100,24,10.56
gboko,ng,7.32,9.0,69.16,99,92,2.51
oriximina,br,-1.77,-55.87,74.56,96,0,3.96
vila velha,br,-3.71,-38.6,80.6,69,20,13.87
mitha tiwana,pk,32.24,72.11,94.27,43,0,4.07
riyadh,sa,24.63,46.72,80.6,28,0,5.82
alice,za,27.75,-98.07,87.17,83,1,12.75
marfino,ru,56.07,37.56,66.42,77,0,8.95
blackfoot,us,43.19,-112.35,67.03,37,40,4.7
harper,lr,30.3,-99.24,92.84,46,1,12.75
harindanga,in,22.04,88.32,84.2,89,75,8.05
agucadoura,pt,41.43,-8.78,65.5,100,0,2.95
jatara,in,25.01,79.05,92.47,49,8,12.91
college,us,64.86,-147.8,66.72,37,76,3.36
saint-georges,gf,46.12,-70.67,60.88,76,92,1.83
del rio,us,29.36,-100.9,102.2,31,1,12.75
shumskiy,ru,54.83,99.13,69.61,64,0,3.18
khandyga,ru,62.65,135.58,66.73,57,88,3.18
chenghai,cn,23.46,116.77,82.4,83,40,4.47
rypefjord,no,70.63,23.67,42.8,100,92,19.46
alcamo,it,37.98,12.96,70.83,77,75,5.82
bosaso,so,11.28,49.18,89.23,86,64,15.14
